district;population;total_Injury;total_Robbery;total_Theft;total_StreetRobbery;total_Burglary;total_Fire;total_Graffiti
Charlottenburg-Wilmersdorf;342332.0;31931.0;4220.0;210033.0;2039.0;10606.0;1313.0;6364.0
Friedrichshain-Kreuzberg;289762.0;37719.0;6748.0;213388.0;4310.0;6605.0;2072.0;10108.0
Lichtenberg;291452.0;21001.0;1890.0;99402.0;1057.0;4445.0;1439.0;5046.0
Marzahn-Hellersdorf;268548.0;24198.0;1981.0;76041.0;1090.0;3735.0;1651.0;4714.0
Mitte;384172.0;59628.0;7582.0;328450.0;4225.0;9915.0;2372.0;10982.0
Neukölln;329691.0;32239.0;4659.0;161622.0;2545.0;8861.0;1903.0;5321.0
Pankow;407765.0;23057.0;2581.0;167927.0;1304.0;7911.0;1654.0;9701.0
Reinickendorf;265225.0;22514.0;2385.0;99013.0;1171.0;6784.0;1354.0;4022.0
Spandau;243977.0;22670.0;2314.0;89812.0;1193.0;4396.0;1348.0;2796.0
Steglitz-Zehlendorf;308697.0;13871.0;1624.0;101487.0;794.0;8247.0;1144.0;5108.0
Tempelhof-Schöneberg;351644.0;25880.0;3525.0;153141.0;1906.0;7536.0;1665.0;5723.0
Treptow-Köpenick;271153.0;16893.0;1571.0;90453.0;859.0;4346.0;1274.0;5576.0
